T,delta,sum_cum_pnl,mean_cum_pnl,n_pos_folds,mean_accuracy,sum_n_active,fold0_pnl,fold1_pnl,fold2_pnl,fold3_pnl,fold4_pnl
0.5,0.1,8.156899379672492,1.6313798759344984,5,0.6198855410785378,32895,0.544227494263755,2.8399393829304613,0.9294413119819889,0.20171063082997753,3.6415805596663082
0.5,0.15,8.154698226731314,1.6309396453462628,5,0.6198923271806008,32879,0.544227494263755,2.8364428687637924,0.9307366732074807,0.20171063082997753,3.6415805596663082
0.4,0.15,8.136137112417597,1.6272274224835193,3,0.6020471407889975,124410,1.4568352469906574,1.5640596908108901,-2.3363376364374266,-0.12310858636436761,7.574688397417844
0.5,0.2,8.13597573446585,1.62719514689317,5,0.6203402099167571,32452,0.544227494263755,2.7966144659971173,0.9608963782451698,0.19330518357194526,3.6409322123878627
0.5,0.25,7.98628783121223,1.597257566242446,5,0.6222041259500543,30194,0.5271953048011152,2.6503047409339273,1.1339082290928149,0.1574898915006817,3.517389664883691
0.35,0.15,7.152586735070612,1.4305173470141224,3,0.6005971769815418,128660,1.4032655578392947,1.2489453495653442,-2.5175677108779064,-0.1519657888411733,7.169909327385053
0.35,0.1,5.403062556089272,1.0806125112178544,3,0.5797502714440824,164304,1.2374312529542568,0.25923108340158124,-4.1217477326311585,-0.1430445900238687,8.17119254238846
0.55,0.0,4.131011761203448,0.8262023522406896,5,0.6214802750633369,9532,0.07321339125056177,1.2022345184360381,1.3217620521377267,0.08215819931970593,1.451643600059415
0.55,0.05,4.131011761203448,0.8262023522406896,5,0.6214802750633369,9532,0.07321339125056177,1.2022345184360381,1.3217620521377267,0.08215819931970593,1.451643600059415
0.55,0.2,4.131011761203448,0.8262023522406896,5,0.6214802750633369,9532,0.07321339125056177,1.2022345184360381,1.3217620521377267,0.08215819931970593,1.451643600059415
0.55,0.15,4.131011761203448,0.8262023522406896,5,0.6214802750633369,9532,0.07321339125056177,1.2022345184360381,1.3217620521377267,0.08215819931970593,1.451643600059415
0.55,0.1,4.131011761203448,0.8262023522406896,5,0.6214802750633369,9532,0.07321339125056177,1.2022345184360381,1.3217620521377267,0.08215819931970593,1.451643600059415
0.55,0.25,4.1287363776879005,0.8257472755375801,5,0.6214870611654,9522,0.07321339125056177,1.2022345184360381,1.31948666862218,0.08215819931970593,1.451643600059415
0.35,0.05,3.525849786650318,0.7051699573300636,2,0.554915399927615,198744,1.3162172171036515,-0.47581615518938936,-5.644633305183598,-0.13491003777203364,8.464992067691687
0.35,0.0,2.1152034477835504,0.4230406895567101,3,0.5300194534925805,226115,1.5788502011809264,-1.0777216761663178,-6.893473432060243,0.035882327156811,8.471666027672374
0.6,0.0,0.5986920680588621,0.11973841361177243,4,0.6210844191096634,1584,0.0,0.000982974675065404,0.4274209231114273,0.03705261138901957,0.13323555888334981
0.6,0.05,0.5986920680588621,0.11973841361177243,4,0.6210844191096634,1584,0.0,0.000982974675065404,0.4274209231114273,0.03705261138901957,0.13323555888334981
0.6,0.1,0.5986920680588621,0.11973841361177243,4,0.6210844191096634,1584,0.0,0.000982974675065404,0.4274209231114273,0.03705261138901957,0.13323555888334981
0.6,0.15,0.5986920680588621,0.11973841361177243,4,0.6210844191096634,1584,0.0,0.000982974675065404,0.4274209231114273,0.03705261138901957,0.13323555888334981
0.6,0.2,0.5986920680588621,0.11973841361177243,4,0.6210844191096634,1584,0.0,0.000982974675065404,0.4274209231114273,0.03705261138901957,0.13323555888334981
0.6,0.25,0.5986920680588621,0.11973841361177243,4,0.6210844191096634,1584,0.0,0.000982974675065404,0.4274209231114273,0.03705261138901957,0.13323555888334981
0.7,0.1,0.002389643502479041,0.0004779287004958082,2,0.6210029858849078,2,0.0,0.0020093530797320154,0.0,0.0,0.00038029042274702546
0.7,0.15,0.002389643502479041,0.0004779287004958082,2,0.6210029858849078,2,0.0,0.0020093530797320154,0.0,0.0,0.00038029042274702546
0.7,0.0,0.002389643502479041,0.0004779287004958082,2,0.6210029858849078,2,0.0,0.0020093530797320154,0.0,0.0,0.00038029042274702546
0.7,0.05,0.002389643502479041,0.0004779287004958082,2,0.6210029858849078,2,0.0,0.0020093530797320154,0.0,0.0,0.00038029042274702546
0.7,0.2,0.002389643502479041,0.0004779287004958082,2,0.6210029858849078,2,0.0,0.0020093530797320154,0.0,0.0,0.00038029042274702546
0.7,0.25,0.002389643502479041,0.0004779287004958082,2,0.6210029858849078,2,0.0,0.0020093530797320154,0.0,0.0,0.00038029042274702546
0.65,0.05,0.0009872438221092293,0.00019744876442184586,2,0.6209690553745929,81,0.0,-0.023185367231082464,0.02102037515844472,0.0,0.0031522358947469733
0.65,0.0,0.0009872438221092293,0.00019744876442184586,2,0.6209690553745929,81,0.0,-0.023185367231082464,0.02102037515844472,0.0,0.0031522358947469733
0.65,0.15,0.0009872438221092293,0.00019744876442184586,2,0.6209690553745929,81,0.0,-0.023185367231082464,0.02102037515844472,0.0,0.0031522358947469733
0.65,0.1,0.0009872438221092293,0.00019744876442184586,2,0.6209690553745929,81,0.0,-0.023185367231082464,0.02102037515844472,0.0,0.0031522358947469733
0.65,0.2,0.0009872438221092293,0.00019744876442184586,2,0.6209690553745929,81,0.0,-0.023185367231082464,0.02102037515844472,0.0,0.0031522358947469733
0.65,0.25,0.0009872438221092293,0.00019744876442184586,2,0.6209690553745929,81,0.0,-0.023185367231082464,0.02102037515844472,0.0,0.0031522358947469733
