label,T,delta,sum_cum_pnl,mean_cum_pnl,std_cum_pnl,n_pos_folds,sum_n_active,fold0_pnl,fold1_pnl,fold2_pnl,fold3_pnl,fold4_pnl
LGB_5seed,0.65,0.0,0.7465730716874714,0.1493146143374943,0.14744516289304432,3,536,0.0,0.22981609485066593,0.12830096044107014,0.0,0.38845601639573535
LGB_5seed,0.65,0.05,0.7465730716874714,0.1493146143374943,0.14744516289304432,3,536,0.0,0.22981609485066593,0.12830096044107014,0.0,0.38845601639573535
LGB_5seed,0.65,0.1,0.7465730716874714,0.1493146143374943,0.14744516289304432,3,536,0.0,0.22981609485066593,0.12830096044107014,0.0,0.38845601639573535
LGB_5seed,0.65,0.15,0.7465730716874714,0.1493146143374943,0.14744516289304432,3,536,0.0,0.22981609485066593,0.12830096044107014,0.0,0.38845601639573535
LGB_5seed,0.65,0.25,0.7465730716874714,0.1493146143374943,0.14744516289304432,3,536,0.0,0.22981609485066593,0.12830096044107014,0.0,0.38845601639573535
LGB_5seed,0.7,0.1,0.01947250856312103,0.0038945017126242056,0.0064505993763953095,2,23,0.0,0.0028697564605635823,0.0,0.0,0.016602752102557447
LGB_5seed,0.7,0.0,0.01947250856312103,0.0038945017126242056,0.0064505993763953095,2,23,0.0,0.0028697564605635823,0.0,0.0,0.016602752102557447
LGB_5seed,0.7,0.05,0.01947250856312103,0.0038945017126242056,0.0064505993763953095,2,23,0.0,0.0028697564605635823,0.0,0.0,0.016602752102557447
LGB_5seed,0.7,0.2,0.01947250856312103,0.0038945017126242056,0.0064505993763953095,2,23,0.0,0.0028697564605635823,0.0,0.0,0.016602752102557447
LGB_5seed,0.7,0.15,0.01947250856312103,0.0038945017126242056,0.0064505993763953095,2,23,0.0,0.0028697564605635823,0.0,0.0,0.016602752102557447
LGB_5seed,0.7,0.25,0.01947250856312103,0.0038945017126242056,0.0064505993763953095,2,23,0.0,0.0028697564605635823,0.0,0.0,0.016602752102557447
