horizon,bucket,sym,n,n_active,active_rate,sum_pnl,per_trade_pnl,hit_rate_active
20,mid_morn_10:00-11:20,2,36984,30969,0.8373621025308241,3.7696274140386405,0.00012172260693075787,0.1973909393264232
20,mid_morn_10:00-11:20,3,36984,2382,0.06440622972096041,0.5585280063377321,0.0002344785920813317,0.20025188916876574
20,mid_morn_10:00-11:20,4,36984,30230,0.8173804888600475,6.248913197839192,0.000206712312201098,0.27945749255706254
20,mid_morn_10:00-11:20,-1,184920,108126,0.5847177157689811,14.260132816676556,0.00013188440168577915,0.2320255997632392
20,open_09:40-10:00,0,7224,6632,0.9180509413067552,-0.05322121282675282,-8.024911463623767e-06,0.06227382388419783
20,open_09:40-10:00,1,7224,7224,1.0,1.362327466626997,0.0001885835363547892,0.38192137320044295
20,open_09:40-10:00,2,7224,7216,0.9988925802879292,0.7427013069572155,0.00010292423876901544,0.28713968957871394
20,open_09:40-10:00,3,7224,2213,0.30633997785160577,0.39656406422466056,0.00017919749851995508,0.18481699051061906
20,open_09:40-10:00,4,7224,7220,0.9994462901439646,1.766072443011078,0.00024460837160818254,0.37119113573407203
20,open_09:40-10:00,-1,36120,30505,0.844545957918051,4.214444067993198,0.00013815584553329612,0.2731683330601541
20,pm_late_13:30-14:50,0,29784,499,0.01675396185871609,0.34193382901337,0.0006852381342953306,0.39478957915831664
20,pm_late_13:30-14:50,1,29784,17056,0.5726564598442117,0.23828033725733955,1.3970470054956588e-05,0.17882270168855535
20,pm_late_13:30-14:50,2,29784,12088,0.40585549288208433,0.5760546386188097,4.76550826124098e-05,0.08016214427531436
20,pm_late_13:30-14:50,3,29784,498,0.016720386784850928,0.20749807643167678,0.00041666280407967225,0.26907630522088355
20,pm_late_13:30-14:50,4,29784,9125,0.30637254901960786,1.9180314306929365,0.0002101952252814177,0.2508493150684932
20,pm_late_13:30-14:50,-1,148920,39266,0.26367177007789416,3.2817983120141325,8.357862557974156e-05,0.16907757347323385
20,pm_open_13:10-13:30,0,14424,412,0.028563505268996116,0.09245676695747303,0.0002244096285375559,0.15048543689320387
20,pm_open_13:10-13:30,1,14424,9627,0.6674292845257903,0.6306074938930204,6.550405047190406e-05,0.2155396281292199
20,pm_open_13:10-13:30,2,14424,7604,0.5271769273433167,0.2511477435390304,3.302837237493825e-05,0.08074697527617043
20,pm_open_13:10-13:30,3,14424,396,0.02745424292845258,0.12758690551899377,0.00032218915535099434,0.23737373737373738
20,pm_open_13:10-13:30,4,14424,7517,0.5211453133666112,2.1233101276857407,0.00028246775677607296,0.2555540774245045
20,pm_open_13:10-13:30,-1,72120,25556,0.3543538546866334,3.2251090375942586,0.00012619772411935588,0.18649240882767257
40,mid_morn_10:00-11:20,0,36984,17902,0.48404715552671423,1.09254628183228,6.1029286215634006e-05,0.14283320299407887
40,mid_morn_10:00-11:20,1,36984,34462,0.931808349556565,2.2613291771866506,6.561804820343134e-05,0.32017874760605886
40,mid_morn_10:00-11:20,2,36984,36133,0.9769900497512438,0.953583996706654,2.6390944474764175e-05,0.23906124595245343
40,mid_morn_10:00-11:20,3,36984,3640,0.09842093878433918,0.23522644583899552,6.4622649955768e-05,0.15412087912087913
40,mid_morn_10:00-11:20,4,36984,32179,0.8700789530607831,5.067595886577235,0.00015748145954122984,0.34221075856925326
40,mid_morn_10:00-11:20,-1,184920,124316,0.6722690893359291,9.610281788141812,7.730526873565601e-05,0.27190385791048616
40,open_09:40-10:00,0,7224,7100,0.9828349944629015,0.20580951238912573,2.8987255266074048e-05,0.13098591549295774
40,open_09:40-10:00,1,7224,7224,1.0,2.201846826380464,0.00030479607231180284,0.4237264673311185
40,open_09:40-10:00,2,7224,7224,1.0,0.7024243614823753,9.723482301804752e-05,0.35035991140642303
40,open_09:40-10:00,3,7224,3395,0.4699612403100775,0.5207625825215133,0.00015339104050707313,0.2159057437407953
40,open_09:40-10:00,4,7224,7224,1.0,2.189842435788709,0.00030313433496521446,0.42455703211517165
40,open_09:40-10:00,-1,36120,32167,0.8905592469545958,5.8206857185621885,0.00018095208501141507,0.3208878664469798
40,pm_late_13:30-14:50,0,29784,481,0.016149610529143165,0.19183002932838167,0.0003988150297887353,0.36174636174636177
40,pm_late_13:30-14:50,1,29784,17910,0.6013295729250604,-0.8477221760029894,-4.7332338135286955e-05,0.2309324399776661
40,pm_late_13:30-14:50,2,29784,23495,0.788846360461993,-0.6424185678821454,-2.7342777947739746e-05,0.10810810810810811
40,pm_late_13:30-14:50,3,29784,146,0.004901960784313725,0.0063052099947631425,4.318636982714481e-05,0.17123287671232876
40,pm_late_13:30-14:50,4,29784,11642,0.3908810099382219,1.6943329849619988,0.0001455362467756398,0.2862051193952929
40,pm_late_13:30-14:50,-1,148920,53674,0.36042170292774645,0.40232748040000843,7.495761083578799e-06,0.19016656109103103
40,pm_open_13:10-13:30,0,14424,444,0.030782029950083195,0.1372996122052148,0.0003092333608225559,0.28603603603603606
